cvegeo	pop	delitos	delitos_cien_k
0900200010010	3183	82	2576.1859880615775
0900200010025	5593	77	1376.720901126408
090020001003A	4235	60	1416.7650531286895
0900200010044	4768	98	2055.3691275167785
0900200010097	2176	59	2711.3970588235293
090020001010A	3346	73	2181.7095038852362
0900200010114	9866	199	2017.0281775795663
0900200010129	5703	135	2367.1751709626515
0900200010133	7288	153	2099.3413830954996
0900200010148	2513	57	2268.2053322721845
0900200010167	3049	101	3312.561495572319
0900200010171	2313	58	2507.5659316904453
0900200010186	11139	179	1606.9665140497352
0900200010190	8920	174	1950.6726457399102
0900200010203	5495	128	2329.390354868062
0900200010218	4162	112	2691.013935607881
0900200010222	7064	148	2095.1302378255946
0900200010237	7093	118	1663.6120118426616
0900200010256	4894	101	2063.7515324887618
0900200010260	5027	105	2088.720907101651
0900200010275	7063	180	2548.4921421492286
090020001028A	3133	61	1947.0156399616983
0900200010294	6122	170	2776.8703038222807
0900200010307	5718	144	2518.3630640083943
0900200010311	3817	257	6733.036416033534
0900200010326	8373	153	1827.302042278753
0900200010330	2352	83	3528.9115646258506
0900200010345	4283	106	2474.900770487976
090020001035A	6325	118	1865.6126482213438
0900200010364	3407	89	2612.2688582330493
0900200010379	4525	86	1900.5524861878453
0900200010383	4040	88	2178.2178217821784
0900200010398	4230	90	2127.6595744680853
0900200010400	3953	115	2909.182899064002
0900200010415	4165	74	1776.7106842737096
0900200010434	2831	84	2967.149417167079
0900200010449	2939	108	3674.7192922762847
0900200010468	4552	237	5206.502636203867
0900200010472	6574	189	2874.9619714024943
0900200010487	4207	159	3779.4152602804847
0900200010491	6312	144	2281.368821292776
0900200010504	4754	116	2440.0504838031134
0900200010519	2409	73	3030.3030303030305
0900200010542	6915	197	2848.879248011569
0900200010557	4475	76	1698.3240223463688
0900200010561	3454	91	2634.626519976838
0900200010576	3168	90	2840.909090909091
0900200010580	4220	157	3720.379146919431
0900200010595	5116	97	1896.0125097732605
0900200010608	5135	99	1927.9454722492696
0900200010612	4333	82	1892.453265635818
0900200010627	4912	110	2239.413680781759
0900200010631	5263	119	2261.0678320349607
0900200010650	6499	209	3215.879366056316
0900200010665	7747	242	3123.7898541370855
090020001067A	6226	141	2264.6964343077416
0900200010684	3991	147	3683.2873966424454
0900200010699	2696	96	3560.8308605341244
0900200010701	2400	95	3958.333333333333
0900200010716	3775	107	2834.437086092715
0900200010720	2653	65	2450.056539766302
090020001074A	2850	117	4105.263157894737
0900200010754	2282	50	2191.060473269062
0900200010769	9195	197	2142.4687330070687
0900200010773	2314	47	2031.114952463267
0900200010788	2450	190	7755.102040816326
0900200010792	4954	102	2058.9422688736377
0900200010805	1996	84	4208.416833667335
090020001081A	3761	89	2366.3919170433396
0900200010824	3028	77	2542.932628797886
0900200010839	3004	95	3162.450066577896
0900200010843	3643	90	2470.491353280264
0900200010858	4395	113	2571.1035267349257
0900200010877	821	144	17539.585870889157
0900200010881	5207	182	3495.2947954676397
0900200010896	1532	8	522.1932114882507
0900200010909	1810	29	1602.209944751381
0900200010913	3311	24	724.8565388100271
0900200010928	1841	192	10429.114611624118
0900200010932	408	43	10539.215686274509
0900200010947	4456	36	807.899461400359
0900200010966	2047	53	2589.1548607718614
0900200010970	2953	69	2336.606840501185
0900200010985	2334	22	942.5878320479864
090020001099A	1337	26	1944.6522064323112
0900200011004	7559	122	1613.9701018653261
0900200011019	1689	28	1657.7856719952636
0900200011023	7644	201	2629.5133437990585
0900200011038	7053	144	2041.6843896214377
0900200011042	5802	102	1758.0144777662874
0900200011057	2418	77	3184.449958643507
0900200011061	1719	25	1454.3339150668994
0900200011076	1	10	999999.9999999999
0900200011080	5000	69	1380
0900200011095	7035	134	1904.7619047619048
0900200011112	4239	18	424.6284501061571
0900200011127	2837	14	493.4790271413465
0900200011131	2543	32	1258.3562721195437
0900200011146	927	34	3667.7454153182307
0900200011150	3486	38	1090.0745840504876
0900200011165	400	90	22500
090020001117A	1602	22	1373.283395755306
0900200011184	1433	19	1325.8897418004187
0900300010018	1658	127	7659.831121833534
0900300010022	1569	95	6054.811982154239
0900300010037	1428	140	9803.921568627451
0900300010041	3006	125	4158.3499667332
0900300010056	3895	105	2695.7637997432607
0900300010060	4299	149	3465.922307513375
0900300010075	2825	106	3752.212389380531
090030001008A	2297	34	1480.1915542011318
0900300010094	3531	70	1982.4412347776833
0900300010107	6992	132	1887.8718535469109
0900300010111	1380	75	5434.782608695652
0900300010126	1803	109	6045.479755962285
0900300010130	2171	183	8429.29525564256
0900300010145	2090	167	7990.43062200957
090030001015A	5065	180	3553.8005923000987
0900300010164	2900	179	6172.413793103448
0900300010179	2198	51	2320.2911737943587
0900300010183	2789	65	2330.584438866977
0900300010198	1649	44	2668.283808368708
0900300010200	5523	109	1973.5650914358139
0900300010215	6100	65	1065.5737704918033
090030001022A	8705	120	1378.5180930499712
0900300010234	710	79	11126.760563380281
0900300010249	740	117	15810.81081081081
0900300010268	1305	113	8659.003831417624
0900300010272	3327	91	2735.1968740607153
0900300010287	8213	215	2617.801047120419
0900300010291	4212	122	2896.4862298195635
0900300010304	1968	80	4065.040650406504
0900300010319	2494	124	4971.932638331997
0900300010323	2398	53	2210.1751459549623
0900300010342	3376	65	1925.3554502369668
0900300010357	4074	81	1988.217967599411
0900300010361	1977	32	1618.6140617096612
0900300010376	1268	10	788.6435331230284
0900300010380	2851	71	2490.3542616625746
0900300010395	2301	26	1129.9435028248588
0900300010408	1576	36	2284.263959390863
0900300010412	3853	20	519.0760446405399
0900300010427	2116	58	2741.0207939508505
0900300010431	5344	119	2226.7964071856286
0900300010446	5501	119	2163.2430467187783
0900300010450	6576	172	2615.571776155718
0900300010465	1476	72	4878.048780487805
0900300010484	1003	34	3389.830508474576
