fecha	delito	cvegeo
2020-04-01	VIOLENCIA FAMILIAR	0901200261706
2020-04-01	ABUSO SEXUAL	0901300010461
2020-04-01	VIOLENCIA FAMILIAR	0901000011519
2020-04-01	VIOLENCIA FAMILIAR	0900500013125
2020-04-01	VIOLENCIA FAMILIAR	0901200011640
2020-04-01	VIOLENCIA FAMILIAR	0900500010953
2020-04-01	VIOLENCIA FAMILIAR	0900700015272
2020-04-01	VIOLENCIA FAMILIAR	0901200011602
2020-04-01	ACOSO SEXUAL	0901200011195
2020-04-01	VIOLENCIA FAMILIAR	0900700015272
2020-04-01	VIOLENCIA FAMILIAR	090060001072A
2020-04-01	VIOLENCIA FAMILIAR	0900500010794
2020-04-01	VIOLENCIA FAMILIAR	0901500011322
2020-04-01	VIOLENCIA FAMILIAR	0900800010353
2020-04-01	VIOLENCIA FAMILIAR	0900200010665
2020-04-01	VIOLENCIA FAMILIAR	0901000011699
2020-04-01	VIOLENCIA FAMILIAR	0900200010665
2020-04-01	VIOLENCIA FAMILIAR	0901300010654
2020-04-01	VIOLENCIA FAMILIAR	0900800010264
2020-04-01	VIOLENCIA FAMILIAR	0900500013322
2020-04-01	VIOLENCIA FAMILIAR	0900901520613
2020-04-01	VIOLENCIA FAMILIAR	090060001026A
2020-04-01	ACOSO SEXUAL	0901400010098
2020-04-01	VIOLENCIA FAMILIAR	0900700014289
2020-04-01	VIOLENCIA FAMILIAR	0901200011477
2020-04-01	VIOLENCIA FAMILIAR	0901500011036
2020-04-01	VIOLENCIA FAMILIAR	0900200010203
2020-04-01	VIOLENCIA FAMILIAR	0901000011059
2020-04-01	VIOLENCIA FAMILIAR	0900700011354
2020-04-01	VIOLENCIA FAMILIAR	0900500012127
2020-04-01	CONTRA LA INTIMIDAD SEXUAL	0901000010135
2020-04-01	VIOLENCIA FAMILIAR	0901000011985
2020-04-01	VIOLENCIA FAMILIAR	0901400010030
2020-04-01	VIOLENCIA FAMILIAR	0901300010353
2020-04-01	VIOLENCIA FAMILIAR	0901000011059
2020-04-01	VIOLENCIA FAMILIAR	090130001146A
2020-04-01	VIOLENCIA FAMILIAR	090120001223A
2020-04-01	VIOLENCIA FAMILIAR	0901100010607
2020-04-01	ABUSO SEXUAL	0901500010610
2020-04-01	VIOLENCIA FAMILIAR	0901000011839
2020-04-01	VIOLENCIA FAMILIAR	0901600010181
2020-04-01	ACOSO SEXUAL	0901500010894
2020-04-01	VIOLENCIA FAMILIAR	0900600010541
2020-04-01	VIOLENCIA FAMILIAR	0900500013233
2020-04-01	VIOLACION	090170001144A
2020-04-01	VIOLENCIA FAMILIAR	0900200010256
2020-04-01	VIOLENCIA FAMILIAR	0901700010545
2020-04-01	VIOLENCIA FAMILIAR	0900700013986
2020-04-01	VIOLENCIA FAMILIAR	0901200011509
2020-04-01	VIOLENCIA FAMILIAR	0900200010684
2020-04-01	VIOLENCIA FAMILIAR	0900500012235
2020-04-01	ABUSO SEXUAL	0900500012080
2020-04-01	ABUSO SEXUAL	0900500012080
2020-04-01	VIOLENCIA FAMILIAR	0901500011515
2020-04-01	VIOLENCIA FAMILIAR	0901000011434
2020-04-01	VIOLENCIA FAMILIAR	0900700012070
2020-04-01	VIOLENCIA FAMILIAR	0900700010407
2020-04-01	ACOSO SEXUAL	0901700011276
2020-04-01	VIOLENCIA FAMILIAR	0901000011699
2020-04-01	VIOLENCIA FAMILIAR	0901700010297
2020-04-01	VIOLENCIA FAMILIAR	090170001030A
2020-04-01	VIOLENCIA FAMILIAR	0900200010504
2020-04-01	VIOLENCIA FAMILIAR	0900800010230
2020-04-01	VIOLENCIA FAMILIAR	0900700012738
2020-04-01	VIOLENCIA FAMILIAR	0900200010608
2020-04-01	VIOLENCIA FAMILIAR	0901100010255
2020-04-01	VIOLENCIA FAMILIAR	090170001062A
2020-04-01	ABUSO SEXUAL	0900300010643
2020-04-01	VIOLACION EQUIPARADA	0900700013420
2020-04-01	VIOLENCIA FAMILIAR	0900600010293
2020-04-01	VIOLENCIA FAMILIAR	0901600010393
2020-04-01	VIOLENCIA FAMILIAR	0900600010575
2020-04-01	VIOLENCIA FAMILIAR	090110021115A
2020-04-01	VIOLENCIA FAMILIAR	0900700014433
2020-04-01	VIOLENCIA FAMILIAR	0901200011960
2020-04-01	VIOLENCIA FAMILIAR	0901200010657
2020-04-01	VIOLENCIA FAMILIAR	0901300010122
2020-04-01	ABUSO SEXUAL	0900500011735
2020-04-01	CONTRA LA INTIMIDAD SEXUAL	0901500010818
2020-04-01	VIOLENCIA FAMILIAR	0900200010203
2020-04-01	VIOLENCIA FAMILIAR	0901700010776
2020-04-01	VIOLENCIA FAMILIAR	0901000010667
2020-04-01	VIOLENCIA FAMILIAR	0900700014838
2020-04-01	VIOLENCIA FAMILIAR	0900300010573
2020-04-01	VIOLENCIA FAMILIAR	0900700011104
2020-04-01	VIOLENCIA FAMILIAR	0901500010979
2020-04-01	VIOLENCIA FAMILIAR	0900600011179
2020-04-01	VIOLENCIA FAMILIAR	090030001022A
2020-04-01	VIOLACION	0901300011366
2020-04-01	VIOLENCIA FAMILIAR	0900800010457
2020-04-01	VIOLENCIA FAMILIAR	0900800010527
2020-04-01	VIOLENCIA FAMILIAR	0901000011699
2020-04-01	VIOLENCIA FAMILIAR	0900300010817
2020-04-01	VIOLENCIA FAMILIAR	0900300010060
2020-04-01	VIOLENCIA FAMILIAR	0901200011636
2020-04-01	VIOLENCIA FAMILIAR	0900700012070
2020-04-01	VIOLENCIA FAMILIAR	0901400010505
2020-04-01	VIOLENCIA FAMILIAR	0900200010788
2020-04-01	VIOLENCIA FAMILIAR	0900500012593
2020-04-01	VIOLENCIA FAMILIAR	0900600010096
2020-04-01	VIOLENCIA FAMILIAR	0901500010080
2020-04-01	VIOLENCIA FAMILIAR	0901000010084
2020-04-01	VIOLENCIA FAMILIAR	0901100011111
2020-04-01	VIOLENCIA FAMILIAR	0900200010699
2020-04-01	ABUSO SEXUAL	0900200010487
2020-04-01	VIOLENCIA FAMILIAR	0901700010263
2020-04-01	VIOLENCIA FAMILIAR	0901200011176
2020-04-01	VIOLENCIA FAMILIAR	0900500010012
2020-04-01	VIOLENCIA FAMILIAR	0900700013492
2020-04-01	VIOLENCIA FAMILIAR	0901000011805
2020-04-01	VIOLENCIA FAMILIAR	0901200010623
2020-04-01	VIOLENCIA FAMILIAR	0901700011172
2020-04-01	VIOLENCIA FAMILIAR	0900800010476
2020-04-01	VIOLENCIA FAMILIAR	0901200261532
2020-04-01	VIOLENCIA FAMILIAR	0900200010294
2020-04-01	VIOLENCIA FAMILIAR	0901200272032
2020-04-01	VIOLENCIA FAMILIAR	0900300011162
