cvegeo	delitos
0901500011036	89
090150001113A	84
0900300010658	58
0900300010785	58
0900800010387	58
0900800010423	58
0900300010802	54
0901500010875	53
0900400200316	52
0900300010817	51
0900300011162	51
0901600010393	51
0901500010358	49
0901600011156	49
0900300010639	47
0900800010404	47
0901500010343	45
0901500011534	45
0901000011171	44
0901700010210	44
0900400010091	43
0901100211003	43
0901300010368	43
0900200010665	42
0900400200246	42
0900700011867	42
0900900110401	42
0901500010574	42
0901500010644	42
0900200010650	41
0900300010573	41
0900300010624	41
0900800010461	41
090080001057A	41
0901000010135	41
0901300010692	41
0901300011173	41
0900300010978	40
0900800010349	40
0900800010457	40
0900300010963	39
090150001056A	39
0901500010610	39
0900500013089	38
0900900330350	38
0901000010474	38
0901300011154	38
0901100010452	37
090070001255A	36
0901600010247	36
0901700011524	36
090030001061A	35
0900300010997	35
0900400010231	35
0900400010354	35
0900500011307	35
0900800010090	35
0900800010527	35
0901300011192	35
0901500010502	35
0901600010251	35
0900200010275	34
0900500010050	34
090050001128A	34
0900600010310	34
0900700010337	34
0901300011169	34
0901500010540	34
0900600010132	33
090090015012A	33
0901200012013	33
0901200012225	33
0901600010285	33
0900200011038	32
0900700012047	32
0900700012051	32
0900900110420	32
0901100010594	32
0901200011176	32
0901200272028	32
0901300010372	32
0901300011328	32
0901600011118	32
0900300011158	31
0900600010397	31
090070001084A	31
0900700014734	31
0900800010546	31
0901000010243	31
0901000010563	31
0901000011699	31
0901200271797	31
0901300011031	31
0901500010517	31
0901700010352	31
0900500011025	30
0900500011171	30
0900700010375	30
0900800010211	30
0901000010031	30
0901000011472	30
0901200012009	30
0901300010527	30
0901300010565	30
0900200010881	29
0900500011133	29
0900500012485	29
0900500013093	29
0900600010575	29
0900600010607	29
0900600010804	29
0900800010137	29
0901300010298	29
0901300010334	29
0901300010480	29
0901500010748	29
0901500010860	29
090030001079A	28
0900500012860	28
0900700010021	28
0900700010746	28
0900700011000	28
0900700011566	28
0900700012988	28
0900800010550	28
0900900360242	28
0901100010950	28
0901200011072	28
0901300010508	28
0901500010470	28
090150001063A	28
0901500010964	28
0901600010177	28
0901700011030	28
0900300010605	27
0900300011425	27
0900500011909	27
0900700010619	27
0900700011778	27
0900700012545	27
0900700013897	27
0900800010438	27
0901000010065	27
090100001135A	27
0901000011843	27
090110021115A	27
0901300010601	27
090150001049A	27
090160001004A	27
0901600010143	27
0901600010444	27
090170001055A	27
0900200010186	26
0900200010307	26
0900400010299	26
0900500010366	26
0900500010845	26
0900500011044	26
0900500011716	26
0900700010731	26
0900700011706	26
0900700013064	26
0900700013596	26
0900800010300	26
0900800010476	26
0900800010512	26
0900900010026	26
0901000010046	26
0901000011858	26
0901200010500	26
0901300010067	26
0901300010387	26
0901400010844	26
0901500010080	26
0901500010339	26
0901600010270	26
0901700010371	26
0900200010133	25
0900400010373	25
0900500010101	25
0900500010455	25
0900500011913	25
0900700010036	25
0900700013327	25
0901200010892	25
0901200011212	25
0901200011509	25
0901400011005	25
0901500010466	25
0901500011074	25
0901500011233	25
0901600010181	25
0901600011349	25
0901700010032	25
0901700010121	25
0901700010884	25
0900200010190	24
0900300010287	24
0900300010535	24
0900500013233	24
0900600010185	24
0900600010359	24
0900600010541	24
0900600011179	24
0900700010553	24
0900700010750	24
0900700010784	24
0900700011034	24
0900700011763	24
0900700015215	24
0900800010207	24
0900800010353	24
0900900110435	24
0901000011330	24
0901000012112	24
0901200011119	24
090120001223A	24
0901200261674	24
0901300010283	24
0901600010054	24
0901700010297	24
0900200010311	23
0900300010357	23
0900300010713	23
0900400010208	23
0900500011006	23
0900500012131	23
0900500012201	23
090060001001A	23
0900700010572	23
090070001198A	23
0900800010230	23
0900800010565	23
0900900170365	23
0901000010493	23
0901000011345	23
0901000011631	23
0901000011735	23
090100001174A	23
0901100010931	23
0901100011111	23
0901200011157	23
0901200012121	23
0901200012441	23
0901300010669	23
090130001121A	23
0901400010651	23
0901500010521	23
0901500010536	23
0901500010678	23
0901500011040	23
0901500011394	23
0901600010213	23
0901600010374	23
0901600010497	23
0900200010203	22
0900200010769	22
0900500010258	22
0900500011754	22
0900500011985	22
0900500012273	22
0900600010433	22
0900700010356	22
0900700010515	22
0900700011104	22
0900700014096	22
0900700014109	22
0900700015060	22
0900800010264	22
0900800010283	22
0901000010099	22
0901000010421	22
0901000010510	22
0901100010039	22
0901200011570	22
0901200261528	22
0901300011224	22
0901400010670	22
0901500010127	22
0901500010184	22
0901500010589	22
0901500011144	22
0901700010225	22
0901700011416	22
0900200010222	21
0900200010256	21
0900200010612	21
0900300010643	21
0900500010192	21
0900500011203	21
0900500011773	21
0900500011970	21
0900500012127	21
0900600010039	21
0900600010109	21
0900700010360	21
0900700010407	21
0900700010483	21
0900700010708	21
0900700010765	21
0900700010835	21
0900700010962	21
0900700011710	21
090070001337A	21
0900700013632	21
0900800010103	21
0900800010315	21
0900900010308	21
0901000010173	21
0901000011241	21
0901100010217	21
0901100010645	21
0901100010664	21
0901100011376	21
090120001013A	21
0901200010888	21
0901200272032	21
0901500010733	21
0901500010771	21
0901500010818	21
090160001011A	21
0901700010422	21
0900200010114	20
0900200010449	20
090030001022A	20
0900300010836	20
0900300010840	20
0900500010084	20
0900500010099	20
0900500010169	20
0900500010205	20
0900500010671	20
0900500010864	20
0900500011186	20
0900500011345	20
0900500011561	20
0900500011735	20
0900500012080	20
0900500012288	20
0900500012682	20
0900600010217	20
0900600010221	20
0900600010255	20
0900600010490	20
0900600011056	20
090060001108A	20
0900700011513	20
0900700012475	20
0900700012776	20
0900700013346	20
0900800010245	20
0900900330346	20
0901000010597	20
0901000011222	20
0901000011557	20
0901000012324	20
0901100010433	20
0901100010575	20
0901100010753	20
0901200011424	20
0901500010042	20
0901500010979	20
0901500011125	20
0901600010158	20
090170001009A	20
090170001030A	20
0901700010460	20
0901700010808	20
0900200010294	19
090020001035A	19
0900200011023	19
0900300010060	19
0900300010431	19
0900300010677	19
0900400010227	19
090050001039A	19
090050001085A	19
0900500010883	19
0900500011148	19
0900500011294	19
0900500012216	19
0900600010363	19
0900600010414	19
0900600010611	19
0900600011130	19
0900700010479	19
0900700010623	19
0900700011015	19
0900700013079	19
0900700014236	19
0900700014749	19
0900800010141	19
0900800010226	19
0901000010116	19
0901000011665	19
0901000011716	19
0901100010132	19
0901100010310	19
0901300010137	19
0901300010461	19
0901300010654	19
0901300010743	19
0901300011135	19
0901300011332	19
0901300011370	19
0901500010659	19
0901500011483	19
0901600010482	19
0901600011194	19
0901700010831	19
090170001087A	19
0900200010487	18
0900200010491	18
0900200010631	18
0900200011042	18
0900300011124	18
0900400010072	18
0900500010135	18
0900500010243	18
0900500010830	18
0900500011237	18
0900500011275	18
090050001174A	18
0900500012199	18
0900500012593	18
0900500012733	18
0900600010024	18
0900600010081	18
0900600010293	18
090060001033A	18
090060001058A	18
0900700010271	18
0900700010977	18
0900700011049	18
0900700011087	18
0900700012437	18
0900700012564	18
0900700013721	18
090070001472A	18
0900700015380	18
090080001032A	18
0900900010312	18
0901000010328	18
0901000010578	18
0901000011364	18
0901000011519	18
0901000011650	18
0901000012235	18
0901100010170	18
0901100011357	18
0901100111037	18
0901100111041	18
0901200010182	18
0901200010303	18
0901200011621	18
0901200012189	18
0901300010014	18
0901300010353	18
0901300010550	18
0901400010878	18
0901500010485	18
090150001088A	18
0901500010894	18
0901600010139	18
0901600011090	18
0901700010085	18
0901700010367	18
0901700010494	18
0901700010511	18
0901700010649	18
0900200010400	17
0900200010542	17
0900200010576	17
0900200010595	17
0900300010130	17
0900300010450	17
0900300010982	17
0900300011001	17
0900500010012	17
0900500010474	17
0900500011167	17
090050001217A	17
0900500012998	17
0900600010236	17
090060001026A	17
0900600011126	17
0900700010017	17
0900700010322	17
090070001038A	17
0900700010426	17
0900700010854	17
0900700012901	17
0900700013401	17
0900700013488	17
0900700013740	17
0900700014024	17
0900700015499	17
0900900110416	17
0901000010440	17
0901000010455	17
0901000011078	17
0901000011646	17
090100001167A	17
0901000011947	17
0901000012061	17
0901000012343	17
0901100010240	17
0901100011380	17
0901200010159	17
0901200010604	17
0901200010869	17
0901200011462	17
0901200011513	17
0901300010226	17
0901300010245	17
0901300010279	17
0901300011188	17
0901300011313	17
0901500010555	17
0901500010606	17
0901500010682	17
0901500010697	17
0901600010092	17
090160001029A	17
0901700010155	17
0901700011308	17
0900200010218	16
0900200010608	16
0900200010627	16
0900200010928	16
0900300010446	16
0900300010821	16
0900400010369	16
0900500010188	16
