fecha	delito	cvegeo
2019-06-01	VIOLENCIA FAMILIAR	0900200010580
2019-05-01	VIOLENCIA FAMILIAR	0901100010414
2019-05-01	VIOLENCIA FAMILIAR	0901100111041
2019-06-01	VIOLENCIA FAMILIAR	0900700012494
2019-06-01	VIOLENCIA FAMILIAR	0900600010787
2019-04-01	VIOLENCIA FAMILIAR	0901200010553
2019-06-01	ABUSO SEXUAL	0901700011168
2019-04-01	VIOLENCIA FAMILIAR	090140001083A
2019-05-01	VIOLENCIA FAMILIAR	0901400010079
2019-06-01	VIOLENCIA FAMILIAR	090020001035A
2019-06-01	VIOLENCIA FAMILIAR	090150001056A
2019-06-01	VIOLENCIA FAMILIAR	0900400200246
2019-06-01	VIOLENCIA FAMILIAR	0901000010046
2019-06-01	VIOLENCIA FAMILIAR	090070001508A
2019-06-01	VIOLENCIA FAMILIAR	0900300010658
2019-06-01	ABUSO SEXUAL	0901300010368
2019-06-01	ABUSO SEXUAL	0900700010286
2019-05-01	VIOLENCIA FAMILIAR	0900500011881
2019-06-01	VIOLENCIA FAMILIAR	0901000011171
2019-06-01	VIOLENCIA FAMILIAR	0901400010435
2019-06-01	VIOLENCIA FAMILIAR	0901300011313
2019-05-01	ACOSO SEXUAL	0900300010342
2019-06-01	VIOLENCIA FAMILIAR	0900700011034
2019-06-01	VIOLENCIA FAMILIAR	0901200011176
2019-05-01	VIOLENCIA FAMILIAR	0901400010613
2019-05-01	VIOLENCIA FAMILIAR	0900700014448
2019-05-01	VIOLACION EQUIPARADA	0901700010668
2019-05-01	ABUSO SEXUAL	090040001034A
2019-06-01	VIOLENCIA FAMILIAR	0901100011291
2019-06-01	VIOLENCIA FAMILIAR	0901500010023
2019-06-01	VIOLENCIA FAMILIAR	0900400200246
2019-06-01	VIOLENCIA FAMILIAR	0900900110401
2019-06-01	VIOLENCIA FAMILIAR	0900700010110
2019-06-01	ACOSO SEXUAL	0901500010485
2019-06-01	ABUSO SEXUAL	0901600010637
2019-04-01	ACOSO SEXUAL	0900200010580
2019-06-01	VIOLACION	0900200010769
2019-06-01	VIOLENCIA FAMILIAR	0901400010223
2019-05-01	VIOLENCIA FAMILIAR	0901100010753
2019-06-01	VIOLENCIA FAMILIAR	0900600011126
2019-06-01	VIOLENCIA FAMILIAR	0900500012235
2019-06-01	VIOLENCIA FAMILIAR	0901000011699
2019-06-01	VIOLENCIA FAMILIAR	0900700011034
