cvegeo	delitos
0900300010997	64
0900400010091	56
0901500010610	55
0900300010770	54
0900400200316	54
0900300011162	53
090150001056A	52
0901500011036	52
090150001113A	51
0901500011534	50
0900600010255	48
0901000011699	48
090150001049A	48
0901000011171	47
0901300010368	47
0900300010624	46
0900300010817	44
090150001063A	44
0900300011158	42
090060001001A	42
0900700010731	42
0901100010452	42
0901500010358	42
0901500010517	42
0901500010733	42
0901500010748	42
090030001061A	41
0900300010785	41
0901700010210	41
0901500010343	40
0901500010574	40
0901500010875	40
0900300010639	39
0900400010231	39
0900500011307	39
0901500010540	39
0901500010644	39
0901500010894	39
0900500011006	38
0900500013093	38
0900300010658	37
0900500011044	37
0901100011357	37
0900700014912	36
0900800010438	36
0900900110420	36
0901500010502	36
0901500010536	36
0901700010032	36
0900300010802	35
0900600010397	35
0900700011867	35
090080001032A	35
0901000010243	35
0901300011169	35
0901500010860	35
0901600011156	35
0901700011030	35
0900600010607	34
0900700011706	34
090070001198A	34
0900700012047	34
0900800010457	34
0900800010527	34
0901300010067	34
090150001095A	34
0900800010349	33
0900800010387	33
0901500010339	33
0901500011144	33
0900300010963	32
0900300010978	32
0900500012860	32
0900700014734	32
0901100011376	32
0901200012013	32
0901300011173	32
0901300011188	32
0901500010589	32
0900300010573	31
0900500011909	31
0900600010310	31
0900600010575	31
0900700010746	31
0900700012070	31
090070001255A	31
0900800010423	31
0900800010461	31
0901500010485	31
0901500011271	31
0900200010133	30
0900200010580	30
0900800010404	30
090080001057A	30
0901000010135	30
0901100011056	30
0901200012009	30
0901300010565	30
0901500010767	30
0901700010390	30
0901700010884	30
0901700011416	30
0900200010294	29
0900200010311	29
0900300010643	29
090040001002A	29
0900500012288	29
0900600010109	29
0900600010274	29
0900700010021	29
0900700010977	29
0900700012475	29
0900700012530	29
0901000012112	29
0901500011125	29
0900200010114	28
0900200010665	28
0900300010821	28
0900400010299	28
0900400200246	28
0900500011345	28
0900700010375	28
0900700010407	28
0900700011369	28
0900700015198	28
0900900110401	28
0901200261532	28
0901200272028	28
0901300010298	28
0901500010752	28
0901500011233	28
090160001011A	28
0901600010247	28
0901600010393	28
0901700010225	28
0901700010812	28
0900200010650	27
0900200010769	27
0900400010373	27
0900500010845	27
0900500011171	27
0900500011237	27
0900600011179	27
0900700010619	27
0900700011015	27
090100001167A	27
0901000011735	27
0901200010426	27
0901300010372	27
0901300010692	27
0901500010659	27
0901500011074	27
090160001004A	27
090160001118A	27
0901700010121	27
0901700010653	27
0900200010222	26
0900200011038	26
090050001128A	26
0900600010132	26
0900600010325	26
0900700010750	26
0900700010784	26
090070001472A	26
0900800010512	26
0901000011241	26
0901000011472	26
0901100010274	26
0901100010950	26
0901200271797	26
0901300010283	26
0901300010334	26
0901500010080	26
0901500010521	26
0901500010678	26
0901600010270	26
0901700011295	26
0900200010275	25
0900400010227	25
0900400010301	25
0900400010354	25
0900500010671	25
0900500011330	25
090050001224A	25
0900500013089	25
0900600010217	25
0900700010036	25
0900800010090	25
0900800010207	25
0901000010563	25
0901000011078	25
090100001135A	25
0901000011364	25
0901100010039	25
0901200010182	25
0901200012225	25
0901200261528	25
0901300010527	25
0901400010878	25
0901500010184	25
0901500010818	25
0901600010251	25
0901600011160	25
0901700011524	25
0900200010218	24
0900200010928	24
0900300010450	24
0900500010169	24
0900500011294	24
090050001217A	24
0900600010185	24
0900700010572	24
0900700010638	24
0900700013596	24
0900800010230	24
0900900010308	24
0901000010065	24
0901000010474	24
0901000011843	24
0901000012165	24
0901100010594	24
0901100010664	24
0901100010931	24
0901200011072	24
0901300010211	24
0901400010844	24
0901500010606	24
0901500011159	24
0901500011483	24
0901600011118	24
0901700010494	24
0900200010186	23
0900200010203	23
0900200010237	23
0900200011023	23
0900200011095	23
0900300010836	23
0900500011025	23
0900500011148	23
0900500011754	23
0900500012682	23
0900600010363	23
0900600011126	23
0900700010337	23
0900700011227	23
0900700011852	23
0900800010137	23
0900800010550	23
0901100010043	23
0901100010645	23
0901200010619	23
0901200011176	23
090120001223A	23
0901300010226	23
0901300010387	23
0901300010480	23
0901500010127	23
0901500010945	23
0901500011040	23
0901500011252	23
0901500011498	23
0901600010459	23
0901600010798	23
0901700010422	23
0901700010511	23
0901700010564	23
0900200010468	22
0900300010677	22
0900400010369	22
0900500010243	22
0900500010417	22
0900500010991	22
0900500011542	22
0900600010611	22
0900700010356	22
0900700011138	22
0900700012456	22
0900700012988	22
0900700013079	22
0900700013219	22
0900800010476	22
0900800010546	22
090090015012A	22
0901000010046	22
0901000010328	22
0901000010493	22
0901000011237	22
090100001174A	22
0901000011769	22
0901100010132	22
0901100010202	22
0901100111037	22
0901200010638	22
0901200011570	22
0901200011617	22
090130001025A	22
0901300011050	22
0901300011192	22
0901500010076	22
0901500010466	22
0901500010714	22
0901500011248	22
0901600010497	22
0901600011349	22
0901700010348	22
0901700010352	22
0901700010367	22
0900300010287	21
0900500010385	21
0900500010440	21
0900500010474	21
0900500010826	21
0900500011256	21
0900500011538	21
0900500012610	21
0900500012907	21
0900600010630	21
0900700010553	21
0900700011049	21
0900700011566	21
0900700012051	21
0900700012545	21
0900700012920	21
0900700015215	21
0900900170365	21
0900900240191	21
0900900330346	21
0901000011716	21
090110001122A	21
090110021115A	21
0901200010623	21
0901200011212	21
0901200011462	21
0901300011224	21
0901300011366	21
0901500010856	21
090150001088A	21
0901600010139	21
0901600010158	21
0901600010181	21
0901600010213	21
