CVEGEO	distancia_apoyo_mujeres
0901000011716	2975.259957762244
0901000012150	1594.9448289546835
0901000011133	2383.533944288225
0901000011307	2735.366154428355
0901000010281	6403.7673066318785
0901000012199	3661.634048134077
0901000012269	2381.204879259784
0901000012273	9164.720478925316
0901000011330	10800.845583676248
090100001181A	7072.788911915197
0901000011684	6227.827244916795
0901000011665	3558.414572364017
0901000010578	1774.93310588911
0901000010597	394.7217654575702
0901000010690	1799.841418462699
0901000010915	2752.420863036288
0901000012216	6772.3280415750405
0901000011275	8040.9463946858805
0901000010065	1077.5154615704996
0901000011063	2365.5086374865277
0901000011542	6527.271922095862
0901000012358	8194.045812453558
0901000012057	1457.0879956251042
0901000012201	6348.470369695452
0901000011222	439.68759067127195
090100001128A	2632.318573367982
0901000011364	2918.4211127168182
0901000010027	1555.257785627656
0901000010031	2695.292958905056
0901000010987	2537.729630309206
0901000010991	2502.789499973419
0901000011006	2737.3984207320636
0901000011769	9448.34292743985
0901000012042	1564.8415183253805
0901000010718	3996.6568769094197
0901000011951	8074.533117372042
0901000010012	1900.3282144867494
090100001021A	7346.03262362946
0901000011044	2367.752360018225
0901000010525	1560.7806814736891
0901000011129	2296.6654404209307
090100001053A	6114.700625807585
0901000011970	6728.410046581479
0901000010826	2904.9157406346567
0901000010830	1879.3831299080462
0901000010845	2266.7464711548105
0901000011010	2877.707992703679
0901000010722	1446.057007486576
090100001103A	3119.8996326721426
0901000010614	731.7276994018935
0901000012362	1678.3526046641982
0901000010629	2596.7106705373058
0901000011881	7866.340816091058
0901000011928	8598.775865238018
0901000011966	7200.441164886721
0901000012004	6014.24697179759
0901000012019	11011.258671542077
0901000012038	217.3790299125614
0901000012131	905.2163292824221
0901000012184	3024.2947967863097
0901000010084	3724.311106500391
0901000012292	4226.277603185048
0901000011114	3730.5324536128132
0901000011078	10116.418555942902
090100001110A	794.568566124668
0901000011190	191.53285116335798
0901000011203	2253.087967545355
0901000010563	1774.93310588911
0901000011148	8904.13962144252
090100001167A	4182.042491194845
0901000011519	6116.78735987132
0901000011523	3831.411561972891
0901000011631	686.4637432126574
0901000011646	313.9672738002723
0901000011650	313.9672738002723
0901000010046	2303.7409046064117
0901000010050	1543.5954790443266
0901000010101	1219.781708375712
0901000010116	1277.546478268761
0901000010493	996.7282933429836
0901000010173	6045.097029835608
0901000010188	8619.790494984767
0901000010224	3483.9924259057198
0901000010239	2196.6456933311397
0901000010421	1070.7071806746903
0901000010807	3817.906596939602
0901000010243	909.2989607565595
0901000010258	7332.443762410188
0901000010262	9907.137227559346
0901000010277	3483.9924259057198
0901000010192	7346.03262362946
0901000010506	1020.8580058968621
0901000010328	9395.414291998222
0901000010332	10140.419467735486
0901000010347	9642.49211569494
0901000010351	9412.305053313296
0901000010370	6901.671279706472
0901000010440	12133.96169289032
0901000010296	9051.215293887635
090100001060A	937.9301391331079
0901000010737	1432.1332808370053
0901000010741	1522.1226533002873
0901000010756	1530.247298106477
0901000010760	4269.219867021315
0901000010775	4269.219867021315
090100001092A	1814.9853410034852
0901000010949	3130.443710887265
0901000010953	2090.9529107872672
0901000010968	2231.52599847662
0901000010972	2840.5773246769622
0901000012146	2294.392722695175
0901000010385	5728.8094420409025
0901000011453	4555.947604375332
0901000011059	2581.232741225292
0901000010205	8619.790494984767
0901000011792	2195.119732980107
0901000012377	1053.289805977264
0901000012343	11799.045583909454
0901000012381	6398.139333334589
0901000011824	10483.943775696316
0901000010510	2171.7394467788604
0901000011947	7275.928238034581
0901000012080	9519.83438586986
0901000012108	1342.8966857951923
0901000012305	8091.21031755461
0901000011152	10162.23260112769
0901000011186	2333.876149237772
090100001078A	3527.958517805871
0901000011595	12469.89414777746
0901000011294	6785.864011694497
0901000010794	3527.958517805871
0901000011985	6872.431671799095
0901000011345	4868.813265858844
0901000011557	7037.791985509039
0901000011561	12469.89414777746
0901000010417	1267.168276814134
0901000010455	6311.396751842152
090100001014A	4761.771264217106
0901000010703	3188.9308780846018
0901000010864	9211.03092734535
0901000010900	3467.447788493256
0901000011025	3368.458625785212
0901000011773	296.904102595328
0901000011805	805.5187279969223
0901000010099	3724.311106500391
0901000011218	2514.3114245937345
0901000011858	3833.969407684353
0901000011699	10684.528026138469
0901000011913	8754.465892105434
0901000010544	6674.594368675596
0901000010648	1467.608270835205
0901000010633	1592.3053133914113
0901000011627	0
0901000010135	259.349502569953
0901000010686	4978.88649085476
0901000010559	1970.04158827202
0901000010667	5464.8287260768175
0901000010671	4978.88649085476
0901000011260	5974.993833610576
0901000011237	833.8093660652218
0901000011241	2673.1404477808137
0901000011580	7964.352203887382
0901000011843	10412.94966848339
0901000011171	5280.926350170149
0901000012254	3132.314482608988
090100001224A	2783.5905548033084
0901000012288	9079.14997262975
0901000010898	570.3711959438842
0901000012339	10126.988091455583
0901000010313	8725.079500987893
0901000012023	7857.451702047996
0901000012324	6514.280311843583
090100001231A	7688.307150083771
0901000012095	9490.826414650983
0901000012220	10250.07467801918
090100001199A	4593.2034946057
0901000010474	3069.619629340081
0901000012112	3383.0857667097625
0901000012235	354.6259896202074
0901000011434	5705.26566796926
0901000010169	6876.041263607547
0901000012076	3787.2779609733047
0901000012061	5733.37567384011
0901000010309	8186.134782221024
0901000011472	8728.489729219913
0901000011379	5534.807085188889
0901000010811	3545.1529569364093
0901000011788	823.7698295993189
0901000011839	7072.788911915197
0901000012165	1053.289805977264
0901000010489	1314.7430863357342
090100001174A	3928.635355261019
0901000011754	2861.495010396029
090100001135A	9863.173815133976
0901000011720	10276.489261043489
0901000011468	8757.274458304842
0901000011932	9244.402447183025
0901000011487	9837.125063588453
0901000011735	4980.130842402914
0901200010604	4130.348344577969
0901200011072	3479.7073277167083
0901200011424	5050.8709023732745
0901200010498	1138.454905791695
0901200010125	3678.735865483115
0901200010445	1500.2123329754208
0901200010074	3481.8130218238316
0901200010159	3020.2606438316216
090120001045A	2983.231234499519
0901200010411	1376.251360984873
0901200010017	2006.724615375393
0901200010214	3100.991759643327
090120001077A	3692.5591445534424
0901200010267	1301.0491536264115
0901200010303	2441.0578354272875
0901200012066	2686.4675904572587
090120001198A	498.066446752691
0901200012174	1542.3525202644155
0901200011994	837.4986688026308
0901200010500	2731.5822478651835
0901200011000	4005.9313096336823
090120001216A	1568.082704462529
0901200011509	4214.896700925317
090120001020A	2676.150006579824
0901200010021	2637.8630942327973
0901200010106	3256.4823378674078
090120001013A	3323.896107063355
0901200010182	2033.2260730993303
0901200010197	3866.7746582717145
0901200010040	1048.426414475521
0901200271763	9339.283527525213
0901200012070	3698.0484798956077
0901200011068	4202.200285982189
0901200012121	5330.147524645826
090120027180A	7045.696976503409
0901200011975	2195.9810239863855
0901200011388	2526.8618940868846
0901200011956	4669.27691467625
0901200010430	2526.161860729804
0901200011918	2324.8183230957447
0901200012206	1571.808024840565
0901200012155	4542.096682073096
0901200010479	3554.147288683591
0901200262314	12041.295818093055
0901200011937	2558.751382733181
0901200012193	1659.701209166722
090120001038A	1350.7256142495123
0901200010483	3339.2478413385693
0901200010712	3827.347039982803
0901200010943	1590.465886941462
0901200010962	1354.7074850553754
0901200010568	3861.4655860925222
0901200010642	4521.705175154499
0901200010407	1363.9468902018916
0901200010426	2262.7485419731997
0901200010572	4183.578160251233
0901200010549	4271.175497259031
0901200010731	2126.5054366182394
0901200010765	2781.2141969461572
0901200010816	4940.617545481174
0901200010820	5039.84774294299
0901200010835	4667.132873862856
090120001084A	5008.001894803125
0901200010854	5373.620248675001
0901200010869	2152.143274823026
0901200010888	823.549699041577
090120001091A	2406.5566711828424
0901200010375	2468.7138946341806
090120026248A	10684.811865825779
0901200010623	4290.4986032674
0901200010638	3473.8673618902685
0901200010657	4183.1824855636005
0901200010661	2590.8759739711795
0901200010676	4103.778807673326
0901200010680	3429.254359152924
0901200010695	2915.700119586849
0901200010727	2897.3829515740804
0901200010939	472.98237833270593
0901200010977	3598.1644541691894
0901200011015	2063.169235775726
0901200010996	4255.335950499508
090120001102A	1364.560107922742
0901200011034	2787.258527553596
0901200011157	2291.320455943221
0901200011087	1749.850075771255
0901200011091	1622.1144141294617
0901200011104	1395.443596064948
0901200011119	1877.1925191022847
0901200011566	3125.9121114850172
0901200010089	3562.450995564275
0901200011176	3086.814891683876
0901200011513	2529.1875817429477
0901200012013	4767.975196954535
0901200012047	3523.532764591163
0901200011049	2339.3363538746585
0901200012051	2832.168828257009
0901200011481	4857.795385360869
0901200262403	12055.968024135043
0901200010905	2160.2519477587375
0901200012136	3973.7189664634134
0901200012140	6378.035479244855
0901200012333	9143.087041061535
0901200261710	13619.7833396989
0901200262329	14640.658043092779
0901200011960	3658.060676422685
0901200011462	3007.709200592879
0901200012263	3135.293630863579
0901200011759	13816.944662410759
0901200011477	3485.172063975644
090120001223A	3348.2585242542
0901200012244	1900.400864255732
090120001052A	2622.310548203124
0901200192475	23822.663420663517
0901200011890	2534.6637570171033
0901200010534	3497.926253588732
0901200012225	2332.82606714446
0901200012367	9519.943856653763
0901200011299	4980.6276073391655
0901200011903	2740.466202096353
0901200011316	686.4812170404118
0901200011195	5143.178277247889
0901200011369	3037.034936005385
0901200011439	4492.695584827371
0901200011443	4940.617545481174
0901200011585	13816.944662410759
0901200012009	4097.049753491452
0901200010784	4304.1681502027595
0901200012210	2284.234852391414
0901200010464	3574.902347818177
0901200010515	2648.094313249854
0901200010708	4685.696518482386
0901200010163	2979.945682808511
0901200010746	3235.8397865339043
0901200010750	4180.962266284045
0901200010801	4194.377150362529
0901200010229	4685.5916544311485
0901200010248	3547.398073750211
0901200010337	3354.535015499726
0901200010341	3076.10038538279
0901200010360	2477.2984783339543
0901200010233	2341.045607510471
0901200261689	13122.962876930538
0901200010619	3732.140422874505
0901200010799	3276.4758279363396
0901200010553	4215.428828766702
0901200010587	3859.901810125488
0901200010591	1912.3412241682245
0901200010924	1292.1867506156455
0901200010958	546.3136725580395
0901200011123	1663.8871471492976
0901200011142	2871.5836884907712
0901200011161	2603.2282188999275
0901200010318	3170.474360164466
0901200010322	3006.967608076182
0901200010093	2972.524950535549
0901200010144	2040.6836115103233
0901200010178	2909.514981931044
0901200011570	3007.709200592879
0901200011053	3973.7189664634134
0901200012085	1317.3936100347205
0901200012259	3389.479672981913
0901200272028	6192.193827217902
0901200272032	6334.5570879585175
090120027230A	9742.777386433572
0901200011458	5707.3805093400615
0901200012102	1951.6307156009389
0901200011941	1579.8465002291557
0901200011922	4031.394438597846
0901200012189	1265.781646023838
0901200012371	13816.944662410759
0901200011744	3168.1214922325676
0901200192460	928.042470097751
0901200261528	12703.90791887941
0901200010394	1625.7980678031768
0901200262390	11979.747996099828
0901200272422	10325.164820882317
0901200012386	8276.946343937823
090120001159A	5085.22294941178
0901200010981	3353.750048796259
0901200012456	5088.943447900433
0901200010892	2876.0510327062957
0901200011496	2861.168660089933
0901200262437	12880.019839391509
0901200262297	10155.41597523878
0901200261674	12269.083149381886
090120026166A	11330.890431454885
0901200011602	10108.576328959429
0901200271797	9132.098541297728
0901200261706	14323.085170096003
0901200261693	14771.201737788007
0901200012348	9190.178570768247
0901200011617	7954.425395825557
0901200261532	14407.736202156126
0901200011621	5498.382147127079
0901200011636	5498.382147127079
0901200011640	4490.953221071761
0901200011212	6537.681788014387
0901200011655	7386.389095686579
0901200012352	7431.000502976683
0901200012441	6860.8462394208045
090120001173A	3894.2571752247554
0901200271778	8349.71003645819
0901200271782	5535.073752232807
0901200011547	157.7560338750791
0901200012282	3348.2585242542
0901200262418	11141.218968957106
0901200012278	4363.69098136394
0901400010543	1503.17170159856
0901400010967	2560.174637129443
0901400010045	2457.31305770153
0901400010168	519.608694006649
0901400010971	566.469291041156
0901400010878	1107.2561466332486
090140001051A	859.5870798714207
0901400010524	863.9753552008607
0901400010346	1328.5365346287479
0901400010670	220.008850391493
0901400010914	2411.335931569099
0901400010115	1103.926559443849
0901400011024	1303.2512990164116
0901400010153	1623.8406481173292
0901400010219	3162.8849633878863
0901400010882	3484.5190936723197
0901400010187	2980.0331250645104
0901400010929	2523.5607877762554
0901400010933	2844.6665652926563
0901400010986	1553.2345436862688
090140001101A	2203.0004218932927
0901400010990	1571.314832217961
0901400010312	854.6344307758251
0901400010327	1342.8636337857477
0901400010331	1083.9886237362582
0901400010685	1249.663811554126
0901400010717	1285.561252073977
0901400010149	1457.2905274302602
0901400010172	834.9195292129659
0901400010204	1598.1076241214105
0901400010011	849.88364562915
0901400010026	1322.75146664572
0901400010030	1554.0711783737904
090140001005A	855.1279015823598
0901400010492	558.9349589168525
0901400010825	1564.126753271926
0901400010435	1447.864959845497
0901400010581	1436.129597594052
0901400010562	1906.965780044739
0901400010454	1300.7600771883922
0901400010863	1831.6305983210805
0901400010558	1008.660035705745
0901400010083	1164.0092533772436
0901400010098	958.2617455005783
0901400010100	1007.5702747799276
0901400010793	1266.725390797973
0901400010365	1754.8043759935533
090140001083A	921.409483973812
0901400010628	620.9969896836274
0901400010469	1113.1908671094623
0901400010473	439.83487767696465
0901400010420	1261.2384417278115
0901400010191	1983.5952817232514
0901400010596	0
0901400010609	1509.2057694240511
0901400010613	1151.1963256570566
0901400010632	928.7942501410272
0901400010948	2320.7761851938226
0901400010647	1681.7477839471123
0901400010844	573.5831698112895
0901400010859	1292.0461238063353
0901400010350	2408.489271758798
0901400010384	1792.170670704823
0901400010399	1631.747433839369
090140001069A	829.438532589229
0901400010702	2142.42852402707
0901400010257	1369.8121647995276
0901400010261	1179.7775769626237
0901400010276	1246.6950542581621
0901400010755	1375.6631128497283
090140001037A	1986.9518325636689
0901400010488	335.413393023758
0901400010242	1556.1640785399882
0901400010064	246.5669604280481
090140001012A	488.2325282235265
090140001044A	1465.7943117582206
0901400010079	924.4153765328197
0901400010577	1599.7062675890559
0901400010789	1441.3303729767688
0901400010897	1108.055516013189
090140001090A	1856.091473738013
0901400010134	214.4198272889991
0901400010952	1583.0515524325674
0901400011005	2430.651554723327
0901400010740	1535.5816547726713
0901400010401	1032.685051760609
0901400010416	1107.6436351566263
0901400010280	0
0901400010295	1438.538319525248
0901400010308	598.843812901918
0901400010721	818.734997152224
0901400010736	2175.2817403345543
090140001076A	416.90369704275736
0901400010774	1272.5001582334835
0901400010806	2231.1064584743194
0901400010810	1805.7017723678232
0901400010238	2546.483943349648
0901400010223	1770.321827830399
0901400010539	496.8755880643306
0901400010666	438.51442981116304
0901400010651	985.9774653716552
0901400010505	1045.9483130917458
0900600010185	426.068540292869
0900600010147	2749.673549771151
0900600010950	1866.0004494880616
090060001001A	0
0900600010024	881.3083209115022
0900600010927	2621.2174072621633
0900600010999	2241.9586906891604
0900600010058	72.763958376176
0900600010109	1187.6069528105681
0900600010128	1914.6992438353927
0900600010132	942.3701081941858
0900600010151	1800.56457331226
0900600010166	1488.5752706936803
0900600010039	2040.969464139809
0900600010217	2938.4584889930434
0900600010221	1638.40434259482
0900600010236	1521.7277511263037
0900600010965	1841.285390220278
0900600010240	942.7900433144787
0900600010255	948.135771524047
0900600010274	515.6891568451555
0900600010378	601.279573243464
0900600010490	2481.242135771089
0900600010503	3549.5407249917034
0900600010518	815.6865844166
0900600010537	815.6865844166
0900600010541	2642.6401896946554
0900600010749	1053.298436911185
0900600010804	2059.424263251385
0900600010876	1328.7159705519032
0900600010931	2362.293628223945
0900600010946	1267.9854200248456
090060001097A	2094.569567453501
0900600010984	2777.1219721729453
0900600011003	1913.5828303283054
0900600011018	3274.09599391808
0900600011022	1861.5686314604131
0900600011037	1177.3339480335444
0900600011056	1416.2194763485572
0900600011060	2110.091737254606
0900600011075	2267.4117869856523
090060001108A	1166.9166362955593
090060001115A	1135.7500460338745
0900600011198	1126.4571113492514
0900600010626	2370.742449510477
0900600010414	422.3692890784692
0900600010683	2468.86867713705
0900600010043	1915.8657295492612
0900600010077	3051.021432572574
0900600010081	573.954389874803
0900600010096	1205.0832264061646
0900600010344	1719.33088485167
0900600010359	815.6865844166
0900600010363	2536.2797403986942
0900600010452	1387.0379903474081
0900600010467	1280.4717526935633
0900600010471	1816.34242554249
0900600010522	0
090060001058A	1910.6667561619622
0900600010607	2503.2498940197825
0900600010611	2615.407707315596
0900600010630	2359.1893699463158
0900600010664	1651.2338564862594
0900600010698	1718.4079786379002
0900600010700	1914.0047503041005
0900600010715	908.171212771245
090060001072A	1816.34242554249
0900600010787	1356.3669206657692
0900600010791	1735.1899002273062
0900600010823	2375.9243357166556
0900600010838	3325.1223179015433
0900600010842	2536.0512749394925
0900600010880	1385.196499837953
0900600010895	2467.5340734787483
0900600010908	1605.8987715425455
0900600011111	882.2251609337641
0900600011126	687.7943512783644
0900600011130	1628.8658884444262
0900600011179	1773.3610109777442
0900600011183	882.900039277999
0900600011200	495.700589382914
0900600010170	1891.6060222236028
0900600010556	1631.3731688332
0900600010645	2737.899847555155
090060001065A	1942.6988310236907
0900600010289	866.511232084805
0900600010202	2279.2320324902903
090060001026A	860.2014790595201
0900600010679	1718.4079786379002
0900600010310	1953.55990649328
0900600010325	801.232176094569
0900600010382	1281.813183429575
0900600010397	1065.0324297050493
0900600010575	807.4603282940652
0900600010594	2654.615864902027
0900600010753	908.4811731339912
0900600010768	1604.2762101605138
0900600010772	1442.551037451685
0900600011164	1516.9864238334183
0900600011041	1558.5373581976664
0900600011094	1596.3948361100593
0900600011107	1268.082847305708
0900600010293	1210.196461824569
0900600010429	1285.6824131892395
0900600010448	2441.978462801118
0900600010433	1684.4572974427995
0900600010486	2464.2254469922
0900600010734	2230.1346747919097
090060001019A	2082.0068383886432
090060001033A	425.8703317299931
0900200010148	3683.8471986316226
0900200010190	1303.5233479048745
0900200010932	1460.981505527525
0900200010237	4957.678416504923
0900200010595	4887.205757353026
0900200010608	3821.6560651193486
0900200010612	5178.260464410412
0900200010627	4414.310802956453
0900200011038	3581.2547521190754
0900200011076	4212.9395439115715
0900200011080	4938.045559785548
0900200011165	959.0140489061906
0900200011042	3048.5876538615435
0900200010665	1361.3254165857184
0900200010010	2421.390441199514
0900200010025	850.67052817922945
090020001003A	2524.781123630305
0900200011150	5008.037451867852
0900200011023	1717.6115924081944
0900200010684	1997.574108227598
0900200010044	859.7289253664135
090020001081A	1359.7784177438973
090020001010A	2347.6557162969275
0900200010167	2755.9730699391484
0900200010097	2537.952909686837
0900200010114	653.55506559126
0900200010186	1351.9741588567235
0900200010260	1922.186758307646
0900200010415	2196.769674031065
0900200010472	702.3673604168404
0900200010542	821.1215811647266
0900200010580	2233.4925426475493
0900200010650	2218.490471090688
090020001067A	1758.3958753094867
0900200010769	2900.3226677358953
0900200010788	3805.9853892909896
0900200010792	1242.357246174308
0900200010824	1993.8840832410708
0900200010858	2451.9805031227575
0900200011057	2929.472060202338
0900200011061	2342.7228694512114
090020001117A	2557.9465285316337
0900200010843	2088.2691037394206
0900200010966	3219.866145271586
0900200010379	834.5811057081908
0900200010398	2176.204498981392
0900200010275	1491.0933304775967
090020001028A	1749.2139884492717
0900200010294	1311.0539024310997
0900200010307	1160.4729005725346
0900200010311	19.2671009652671
0900200010326	210.2921618745641
0900200010330	1702.7006291806958
0900200010345	1761.9867018476045
090020001035A	2740.0884759556257
0900200010468	926.9063540552359
0900200010487	573.941823251601
0900200010491	2928.5453994834716
0900200010504	1551.1266624956231
0900200010519	1974.1982921631686
0900200011127	611.7325177983465
0900200010171	2428.16342747297
0900200010364	1681.8032065644668
0900200010383	1683.663070782421
0900200010561	3550.6859634335406
0900200010576	3592.2247107146795
0900200010947	667.766778858651
0900200010896	2463.970102624042
0900200011184	3287.9054471687996
0900200010256	2931.760450507791
0900200010129	653.2210024969111
0900200010133	363.477947186939
0900200010203	513.3301760464574
0900200010218	820.4575094426416
0900200010222	1480.0311045140386
0900200010400	3206.629014218127
0900200010434	1538.579456893077
0900200010449	2818.155267963562
0900200010557	2191.9537953664103
0900200010631	3610.5064956663855
0900200010699	2236.7352020113126
0900200010701	1247.295596207523
0900200010716	2436.7801052346185
0900200010720	2928.251584031198
090020001074A	2269.3905099500666
0900200010754	1582.905875253126
0900200010773	3572.8399686624475
0900200010805	1230.432356695374
0900200010839	2488.491280551768
0900200010909	5224.354572472248
0900200010985	2709.3158714720525
0900200011004	3137.7694027274924
0900200011019	2067.0944373761663
0900200011095	3657.9960768445562
0900200010970	2658.1972593599953
090020001099A	3694.046980393497
0900200011131	2710.552941455171
0900200011146	2710.552941455171
0900200010877	2680.674976162576
