CVEGEO	pop
0900200010010	3183
0900200010025	5593
090020001003A	4235
0900200010044	4768
0900200010097	2176
090020001010A	3346
0900200010114	9866
0900200010129	5703
0900200010133	7288
0900200010148	2513
0900200010167	3049
0900200010171	2313
0900200010186	11139
0900200010190	8920
0900200010203	5495
0900200010218	4162
0900200010222	7064
0900200010237	7093
0900200010256	4894
0900200010260	5027
0900200010275	7063
090020001028A	3133
0900200010294	6122
0900200010307	5718
0900200010311	3817
0900200010326	8373
0900200010330	2352
0900200010345	4283
090020001035A	6325
0900200010364	3407
0900200010379	4525
0900200010383	4040
0900200010398	4230
0900200010400	3953
0900200010415	4165
0900200010434	2831
0900200010449	2939
0900200010468	4552
0900200010472	6574
0900200010487	4207
0900200010491	6312
0900200010504	4754
0900200010519	2409
0900200010542	6915
0900200010557	4475
0900200010561	3454
0900200010576	3168
0900200010580	4220
0900200010595	5116
0900200010608	5135
0900200010612	4333
0900200010627	4912
0900200010631	5263
0900200010650	6499
0900200010665	7747
090020001067A	6226
0900200010684	3991
0900200010699	2696
0900200010701	2400
0900200010716	3775
0900200010720	2653
090020001074A	2850
0900200010754	2282
0900200010769	9195
0900200010773	2314
0900200010788	2450
0900200010792	4954
0900200010805	1996
090020001081A	3761
0900200010824	3028
0900200010839	3004
0900200010843	3643
0900200010858	4395
0900200010877	821
0900200010881	5207
0900200010896	1532
0900200010909	1810
0900200010913	3311
0900200010928	1841
0900200010932	408
0900200010947	4456
0900200010966	2047
0900200010970	2953
0900200010985	2334
090020001099A	1337
0900200011004	7559
0900200011019	1689
0900200011023	7644
0900200011038	7053
0900200011042	5802
0900200011057	2418
0900200011061	1719
0900200011076	1
0900200011080	5000
0900200011095	7035
0900200011112	4239
0900200011127	2837
0900200011131	2543
0900200011146	927
0900200011150	3486
0900200011165	400
090020001117A	1602
0900200011184	1433
0900300010018	1658
0900300010022	1569
0900300010037	1428
0900300010041	3006
0900300010056	3895
0900300010060	4299
0900300010075	2825
090030001008A	2297
0900300010094	3531
0900300010107	6992
0900300010111	1380
0900300010126	1803
0900300010130	2171
0900300010145	2090
090030001015A	5065
0900300010164	2900
0900300010179	2198
0900300010183	2789
0900300010198	1649
0900300010200	5523
0900300010215	6100
090030001022A	8705
0900300010234	710
0900300010249	740
0900300010268	1305
0900300010272	3327
0900300010287	8213
0900300010291	4212
0900300010304	1968
0900300010319	2494
0900300010323	2398
0900300010342	3376
0900300010357	4074
0900300010361	1977
0900300010376	1268
0900300010380	2851
0900300010395	2301
0900300010408	1576
0900300010412	3853
0900300010427	2116
0900300010431	5344
0900300010446	5501
0900300010450	6576
0900300010465	1476
0900300010484	1003
0900300010499	2502
0900300010501	3477
0900300010516	1436
0900300010520	2615
0900300010535	7676
090030001054A	784
0900300010554	4591
0900300010573	12827
0900300010588	1779
0900300010605	3621
090030001061A	10554
0900300010624	9838
0900300010639	12525
0900300010643	8559
0900300010658	10461
0900300010662	5469
0900300010677	8113
0900300010681	4561
0900300010696	2382
0900300010709	3117
0900300010713	4685
0900300010728	3836
0900300010770	326
0900300010785	11640
090030001079A	9058
0900300010802	13042
0900300010817	10152
0900300010821	5221
0900300010836	6381
0900300010840	6633
0900300010855	2696
090030001086A	2670
0900300010889	2647
0900300010893	1749
0900300010906	3324
090030001093A	1211
0900300010959	4224
0900300010963	6516
0900300010978	8080
0900300010982	6525
0900300010997	9422
0900300011001	6521
0900300011016	6606
0900300011020	4471
0900300011069	1633
0900300011073	1616
0900300011092	5787
0900300011105	2795
0900300011124	5743
0900300011139	691
0900300011143	540
0900300011158	8986
0900300011162	14061
0900300011181	4132
0900300011213	5772
0900300011228	2280
0900300011232	3022
0900300011247	5019
0900300011251	2321
0900300011266	2811
0900300011270	4167
0900300011285	3625
090030001129A	3454
0900300011302	1973
0900300011317	2754
0900300011321	3755
0900300011336	2908
0900300011340	2546
0900300011355	2461
090030001136A	2243
0900300011374	2494
0900300011389	3600
0900300011393	2828
0900300011406	3216
0900300011410	4242
0900300011425	6786
090030001143A	2877
0900300011444	2651
0900300011459	2436
0900300011463	2844
0900300011478	3845
0900300011482	4758
0900300011497	5249
090030001150A	4541
0900300011514	5908
0900300011529	5698
0900300011533	22
0900300011548	1494
0900300011552	1688
0900300011567	1682
0900300011571	2055
0900300011586	386
0900300011590	1941
0900300011618	1151
0900300011622	2498
0900300011637	2821
0900300011641	2483
0900300011656	3244
0900300011660	3328
0900300011675	3996
090030001168A	1544
0900300011694	1542
0900300011707	5005
0900300011726	2983
0900300011730	645
0900300011745	3535
090030001175A	3635
0900300011764	2890
0900300011779	1832
0900300011783	3170
0900300011798	754
090040001002A	4726
0900400010049	4304
0900400010053	6459
0900400010072	2849
0900400010091	11767
0900400010104	7179
0900400010119	6497
0900400010123	6200
0900400010138	7681
0900400010176	9292
0900400010180	6474
0900400010195	10984
0900400010208	7474
0900400010212	4941
0900400010227	8867
0900400010231	7804
0900400010250	4220
090040001027A	4578
0900400010299	10533
0900400010301	4195
0900400010320	2945
090040001034A	3494
0900400010354	6409
0900400010369	14609
0900400010373	14170
0900400010392	599
0900400010405	4253
090040001041A	3190
0900400200246	9541
0900400200316	15087
0900400200388	1414
0900500010012	4355
0900500010027	5631
0900500010050	10026
0900500010084	3396
0900500010099	4342
0900500010101	5213
0900500010135	4716
090050001014A	4456
0900500010154	8184
0900500010169	7933
0900500010173	4482
0900500010188	4422
0900500010192	5552
0900500010205	6337
0900500010224	3017
0900500010243	7379
0900500010258	4738
0900500010262	4022
0900500010277	3195
0900500010281	2782
0900500010296	2757
0900500010309	2212
0900500010313	3640
0900500010328	1639
0900500010332	5616
0900500010351	4655
0900500010366	11779
0900500010370	3064
0900500010385	6250
090050001039A	5682
0900500010402	5809
0900500010417	5194
0900500010421	3669
0900500010436	4302
0900500010440	5028
0900500010455	4073
0900500010474	4984
0900500010489	4331
0900500010493	2523
